Year	Month	Day	Lat	Lon	Depth	Mag
2025	4	6	19.0253	-80.5545	10	4.1
2024	12	23	19.9162	-76.5153	22.2	5.9
2024	11	25	19.8554	-77.0641	10	4.3
2024	11	10	19.7468	-77.2091	10	3.9
2024	11	10	19.7614	-77.1136	15.8	4.6
2024	11	10	19.7487	-77.1074	16.6	4.3
2024	11	10	19.8191	-77.0757	14	6.8
2024	11	10	19.8473	-76.9664	19	5.8
2024	10	17	19.7131	-75.9796	17.6	4.6
2024	9	7	19.5571	-75.5887	10	4.5
2024	6	10	19.9767	-75.7385	10	4.3
2023	6	5	21.8604	-76.3359	10	4.2
2023	2	24	19.6238	-75.0238	10	3.3
2023	2	1	19.3364	-79.0088	10.6	4.4
2022	12	17	21.792	-76.485		10	4.8
2022	11	8	21.7125	-76.489		10	5
2022	9	24	19.668	-77.8671	15.6	4.3
2022	6	28	19.8218	-75.4727	10	3.8
2021	12	26	19.8693	-75.5456	21.7	4
2021	7	19	19.7691	-75.5106	10	4.2
2021	7	12	19.9891	-75.5466	10	3.7
2021	6	29	22.7942	-82.9632	10	4.7
2021	5	30	19.6178	-77.9842	10	4
2021	1	17	19.9655	-75.44		10	3.5
2021	1	5	19.1772	-79.6665	10	4.4
2020	12	25	19.5293	-78.405		10	4.1
2020	9	8	19.0872	-80.1628	10	4.5
2020	7	24	19.4993	-78.0694	10.2	5.1
2020	5	18	19.7205	-76.3787	10	4.3
2020	5	17	19.7207	-76.433		10	4.3
2020	5	17	19.7171	-76.4103	10	4.4
2020	5	17	19.7133	-76.397		10	4.6
2020	4	29	20.1913	-74.158		10	4.6
2020	2	8	19.3243	-78.9408	10	4
2020	2	2	19.1884	-80.0254	10	4.4
2020	1	30	19.0862	-80.8912	10	4
2020	1	29	19.3791	-78.6607	10	4.9
2020	1	29	19.2214	-79.7733	10	4.1
2020	1	29	19.038	-80.7512	13.7	4.3
2020	1	29	19.0197	-80.7227	10	4.2
2020	1	29	19.02	-80.7182	10	4.2
2020	1	29	19.0246	-80.7573	s 	4.5
2020	1	28	19.0286	-80.8407	12.4	4.5
2020	1	28	19.0301	-80.078		10	4.4
2020	1	28	19.0623	-80.9069	10	4.9
2020	1	28	19.321	-79.123		10	4.7
2020	1	28	19.0567	-80.1746	10	4.1
2020	1	28	19.4193	-78.756		14.9	7.7
2020	1	24	19.9325	-74.7154	10	4.3
2019	12	9	19.0781	-80.4369	10	5
2019	8	5	19.5604	-74.2173	10	4.3
2018	5	19	19.817	-75.2592	23.9	3.3
2018	3	10	19.9582	-75.459		29.3	3.8
2017	11	10	19.4702	-78.0579	10	4.1
2017	11	9	19.5453	-78.071		10	4.5
2017	8	3	19.5616	-75.5071	10	3.9
2017	7	30	23.1484	-81.4458	10	4.4
2017	6	20	19.33	-74.1718	13.1	4.4
2017	5	10	19.8237	-75.2183	21.8	3.2
2017	4	25	19.6432	-75.4707	23	4.7
2017	4	25	19.6154	-75.5212	10	4.2
2017	1	17	19.8529	-76.594		11	5.8
2016	9	30	19.8858	-74.3833	10	5
2016	3	28	20.0436	-73.8773	10	4.4
2016	1	26	19.654	-76.077		8	4.4
2016	1	25	19.7836	-76.0556	10	4.3
2016	1	25	19.7764	-76.0681	10	4.6
2016	1	24	19.7147	-75.3017	20.4	4.2
2016	1	21	19.7713	-76.0684	7.4	4.3
2016	1	21	19.7221	-76.0112	16.2	4.3
2016	1	18	19.8368	-76.0153	15.2	4.5
2016	1	17	19.5711	-76.1144	10	4.5
2016	1	17	19.7204	-76.0967	10	5.2
2016	1	17	19.8125	-76.0885	10	4.9
2016	1	17	19.7843	-76.0218	10	4.6
2016	1	17	19.8003	-76.0474	10	4.9
2015	10	13	19.9756	-75.8527	23.8	4
2015	8	19	19.6265	-75.423		24.2	3.8
2015	8	16	23.2406	-80.6418	14.1	4.3
2015	7	28	19.7236	-75.9807	19.6	4.1
2015	3	23	19.4972	-73.8081	10	4.3
2015	3	13	19.9264	-75.9568	23.6	4.4
2015	2	24	19.4302	-78.3847	10	4.2
2015	1	21	22.2165	-81.4216	16.1	4.1
2014	10	19	19.7833	-74.4832	10.4	4.4
2014	8	25	19.7439	-76.3686	16.3	4.1
2014	3	30	23.1071	-80.7043	15.7	4.2
2014	3	9	23.1573	-80.7795	10	4.7
2014	2	5	23.0882	-80.8884	14.2	4.3
2014	1	10	23.078	-80.7589	10	4
2014	1	10	23.1972	-80.6891	13.6	4.1
2014	1	9	23.1818	-80.7278	10	5
2013	12	22	19.9327	-75.886		13.2	4.2
2013	12	21	19.8002	-77.1364	11.7	4.2
2013	2	8	19.69	-76.084		8.2	4.7
