Year	Month	Day	Time	Lat	Lon	Depth	Mag	Region	Timestamp
2025	4	6	14:41:44	19.0253	-80.5545	10	4.1	66 km ESE of East End. Cayman Islands	1743950504
2024	12	23	06:00:59	19.9162	-76.5153	22.2	5.9	37 km S of Guisa. Cuba	1734933659
2024	11	25	06:52:49	19.8554	-77.0641	10	4.3	36 km SSW of Bartolomé Masó. Cuba	1732517569
2024	11	10	21:27:53	19.7468	-77.2091	10	3.9	49 km SSE of Media Luna. Cuba	1731274073
2024	11	10	18:45:37	19.7614	-77.1136	15.8	4.6	48 km SSW of Bartolomé Masó. Cuba	1731264337
2024	11	10	18:36:43	19.7487	-77.1074	16.6	4.3	49 km SSW of Bartolomé Masó. Cuba	1731263803
2024	11	10	16:49:50	19.8191	-77.0757	14	6.8	40 km SSW of Bartolomé Masó. Cuba	1731257390
2024	11	10	15:50:03	19.8473	-76.9664	19	5.8	35 km S of Bartolomé Masó. Cuba	1731253803
2024	10	17	14:50:32	19.7131	-75.9796	17.6	4.6	37 km S of El Cobre. Cuba	1729176632
2024	9	7	23:09:55	19.5571	-75.5887	10	4.5	57 km SSE of Santiago de Cuba. Cuba	1725750595
2024	6	10	14:55:00	19.9767	-75.7385	10	4.3	10 km ESE of Santiago de Cuba. Cuba	1718031300
2023	6	5	07:20:38	21.8604	-76.3359	10	4.2	Cuba region	1685949638
2023	2	24	01:20:40	19.6238	-75.0238	10	3.3	60 km SSE of Guantánamo. Cuba	1677201640
2023	2	1	07:26:06	19.3364	-79.0088	10.6	4.4	Cayman Islands region	1675236366
2022	12	17	06:40:52	21792	-76.485	10	4.8	67 km N of Puerto Padre. Cuba	1671259252
2022	11	8	11:33:39	21.7125	-76.489	10	5	58 km NNE of Puerto Padre. Cuba	1667907219
2022	9	24	20:01:42	19.668	-77.8671	15.6	4.3	51 km SW of Niquero. Cuba	1664049702
2022	6	28	14:11:57	19.8218	-75.4727	10	3.8	43 km ESE of Santiago de Cuba. Cuba	1656425517
2021	12	26	07:40:54	19.8693	-75.5456	21.7	4	Cuba region	1640504454
2021	7	19	01:33:26	19.7691	-75.5106	10	4.2	43 km SE of Santiago de Cuba. Cuba	1626658406
2021	7	12	01:13:48	19.9891	-75.5466	10	3.7	29 km E of Santiago de Cuba. Cuba	1626052428
2021	6	29	15:00:12	22.7942	-82.9632	10	4.7	5 km E of Soroa. Cuba	1624978812
2021	5	30	08:29:47	19.6178	-77.9842	10	4	63 km SW of Niquero. Cuba	1622363387
2021	1	17	01:19:37	19.9655	-75.44	10	3.5	31 km SW of Guantánamo. Cuba	1610846377
2021	1	5	02:39:36	19.1772	-79.6665	10	4.4	153 km E of East End. Cayman Islands	1609814376
2020	12	25	15:57:19	19.5293	-78.405	10	4.1	103 km WSW of Niquero. Cuba	1608911839
2020	9	8	13:00:05	19.0872	-80.1628	10	4.5	103 km ESE of East End. Cayman Islands	1599570005
2020	7	24	19:11:47	19.4993	-78.0694	10.2	5.1	79 km SW of Niquero. Cuba	1595617907
2020	5	18	07:18:07	19.7205	-76.3787	10	4.3	58 km SW of El Cobre. Cuba	1589786287
2020	5	17	23:00:22	19.7207	-76.433	10	4.3	60 km S of Guisa. Cuba	1589756422
2020	5	17	22:41:22	19.7171	-76.4103	10	4.4	60 km SW of El Cobre. Cuba	1589755282
2020	5	17	20:47:14	19.7133	-76.397	10	4.6	60 km SW of El Cobre. Cuba	1589748434
2020	4	29	10:22:47	20.1913	-74.158	10	4.6	6 km S of Maisí. Cuba	1588155767
2020	2	8	09:38:40	19.3243	-78.9408	10	4	126km NW of Lucea. Jamaica	1581154720
2020	2	2	05:55:07	19.1884	-80.0254	10	4.4	115km E of East End. Cayman Islands	1580622907
2020	1	30	08:23:47	19.0862	-80.8912	10	4	33km SE of East End. Cayman Islands	1580372627
2020	1	29	14:53:14	19.3791	-78.6607	10	4.9	114km NNW of Lucea. Jamaica	1580309594
2020	1	29	14:14:43	19.2214	-79.7733	10	4.1	141km E of East End. Cayman Islands	1580307283
2020	1	29	05:16:46	19.038	-80.7512	13.7	4.3	48km SE of East End. Cayman Islands	1580275006
2020	1	29	04:37:30	19.0197	-80.7227	10	4.2	51km SE of East End. Cayman Islands	1580272650
2020	1	29	02:50:21	19.02	-80.7182	10	4.2	52km SE of East End. Cayman Islands	1580266221
2020	1	29	02:13:16	19.0246	-80.7573	s 	4.5	48km SE of East End. Cayman Islands	1580263996
2020	1	28	23:09:08	19.0286	-80.8407	12.4	4.5	41km SE of East End. Cayman Islands	1580252948
2020	1	28	22:45:00	19.0301	-80.078	10	4.4	113km ESE of East End. Cayman Islands	1580251500
2020	1	28	20:59:59	19.0623	-80.9069	10	4.9	34km SE of East End. Cayman Islands	1580245199
2020	1	28	20:39:45	19.321	-79.123	10	4.7	138km NW of Lucea. Jamaica	1580243985
2020	1	28	20:29:03	19.0567	-80.1746	10	4.1	102km ESE of East End. Cayman Islands	1580243343
2020	1	28	19:10:24	19.4193	-78.756	14.9	7.7	123km NNW of Lucea. Jamaica	1580238624
2020	1	24	02:47:00	19.9325	-74.7154	10	4.3	51km SSW of Baracoa. Cuba	1579834020
2019	12	9	06:12:23	19.0781	-80.4369	10	5	75km ESE of East End. Cayman Islands	1575871943
2019	8	5	00:34:12	19.5604	-74.2173	10	4.3	91km SSE of Baracoa. Cuba	1564965252
