Year,Month,Day,Lat,Lon,Depth,Mag
2021,7,25,-19.902,-69.9493,50.6,3.2
2021,7,24,-22.6362,-68.3966,115.7,4
2021,7,22,-21.8496,-68.5923,140.5,4.4
2021,7,21,-21.7051,-68.6885,105.7,4.9
2021,7,21,-20.926,-69.8972,87.7,4.2
2021,7,20,-15.5876,-72.1531,125.4,4.1
2021,7,19,-17.1215,-71.0248,108.5,4.7
2021,7,19,-20.3475,-70.1212,31.6,2.3
2021,7,18,-18.9616,-66.8405,262,4.5
2021,7,18,-18.9973,-69.662,104.5,4.5
2021,7,18,-20.4284,-68.9211,109.5,4.3
2021,7,18,-14.8835,-71.5965,110.8,4.9
2021,7,17,-19.7885,-67.0655,241.9,4.4
2021,7,17,-23.4599,-67.0011,234.9,4.2
2021,7,17,-21.7241,-68.5461,145.2,4.7
2021,7,14,-21.7132,-68.525,129,4.3
2021,7,13,-22.1176,-67.4978,190.8,4.5
2021,7,11,-15.611,-71.5391,125.8,4.7
2021,7,10,-21.3704,-69.9135,58.9,4.1
2021,7,10,-13.8262,-72.3983,71.6,4.1
2021,7,10,-22.949,-66.175,250.6,4.4
2021,7,9,-12.7475,-73.9044,60.4,5
2021,7,9,-20.3089,-68.6887,106.9,5.2
2021,7,8,-21.9559,-68.6577,124.7,4.4
2021,7,8,-18.463,-71.2286,55.1,5.2
2021,7,8,-19.7751,-69.414,101.3,4.1
2021,7,7,-21.1391,-68.7014,118.3,4.7
2021,7,7,-22.5947,-68.8073,108.7,4.1
2021,7,6,-17.7051,-69.9062,157.8,4.1
2021,7,3,-20.1735,-69.1721,91.8,4.3
2021,7,2,-21.3917,-68.7373,125.9,4
2021,7,2,-20.9181,-68.9103,104.5,4
2021,7,2,-18.132,-71.9832,12.6,4.3
2021,6,30,-22.6379,-66.6134,214.7,4.7
2021,6,30,-14.7044,-74.3898,81.4,4.1
2021,6,30,-21.2011,-68.7401,123.3,4
2021,6,29,-21.4082,-67.3362,184.4,4.4
2021,6,28,-22.0112,-67.4079,213,4.3
2021,6,28,-17.5951,-69.7698,10,4.5
2021,6,27,-19.7679,-70.4253,24.2,3.4
2021,6,27,-22.2771,-70.0726,66.4,4.4
2021,6,27,-21.3541,-68.4073,109.6,4.3
2021,6,27,-21.4666,-66.8175,242.5,4.2
2021,6,26,-22.4266,-68.6804,122.7,3.8
2021,6,26,-21.6732,-68.4644,110.5,4.3
2021,6,26,-18.4855,-69.3274,127.4,4.5
2021,6,24,-20.0064,-69.0418,96,4.5
2021,6,24,-15.5729,-72.0706,134.5,4.3
2021,6,23,-22.7776,-66.6905,237,4.7
2021,6,22,-22.5128,-70.4041,31.5,4.1
2021,6,21,-22.5326,-66.4588,263.8,4.2
2021,6,20,-21.5315,-68.615,135.3,4.2
2021,6,18,-21.5239,-69.6851,13,4.3
2021,6,15,-14.7635,-72.5513,80.6,4.6
2021,6,13,-16.0852,-71.4623,137.5,4.9
2021,6,12,-15.5782,-70.9041,202.4,4.2
2021,6,12,-20.8264,-68.8273,117.8,4.5
2021,6,12,-23.4187,-66.9053,226.5,4.4
2021,6,12,-19.3649,-69.1649,112.5,4.1
2021,6,8,-16.5999,-74.0539,10,4.5
2021,6,8,-16.6885,-74.155,10,4.8
2021,6,5,-22.3429,-68.6429,114.1,4
2021,6,5,-21.2826,-68.8968,128.8,4.1
2021,6,4,-15.9226,-75.5233,10,4.5
2021,6,4,-21.4414,-70.5919,52,4.6
2021,6,4,-21.4345,-66.873,250.5,4.3
2021,6,3,-15.7414,-75.4396,4.9,4.6
2021,6,2,-21.7381,-68.6721,139.4,4
2021,6,1,-21.4751,-66.7478,228.1,5.3
2021,5,31,-17.4489,-69.9582,10,4.6
2021,5,31,-23.3629,-71.8208,10,4.5
2021,5,31,-18.2537,-69.7331,128.2,4.3
2021,5,30,-15.9533,-73.8133,58,4.7
2021,5,30,-18.8761,-69.5464,115,4.3
2021,5,29,-18.9916,-69.6292,107,4.3
2021,5,29,-17.4226,-69.8904,10,4.7
2021,5,28,-21.6802,-68.4869,163,4.3
2021,5,27,-19.2158,-69.5193,104.6,4.5
2021,5,26,-19.9968,-69.2001,97.5,4.1
2021,5,26,-14.6938,-75.3979,50.6,4.4
2021,5,25,-20.2432,-69.2683,109.2,4.2
2021,5,24,-21.17,-70.0201,45.6,4.2
2021,5,22,-17.5552,-69.8168,10,4.2
2021,5,22,-16.9879,-71.4513,51.4,4.6
2021,5,22,-17.399,-69.904,6.1,4.9
2021,5,21,-20.9452,-68.8306,104.3,4.2
2021,5,20,-22.209,-68.5197,114.8,5.2
2021,5,20,-22.3558,-68.8939,112.7,4
2021,5,19,-21.3674,-66.7133,225.6,4.4
2021,5,19,-10.9556,-73.8872,109.9,4.4
2021,5,19,-22.8886,-66.5858,229.2,4.2
2021,5,19,-17.4098,-69.8248,10,4.4
2021,5,18,-15.1558,-74.8353,62.6,4.1
2021,5,18,-17.2155,-70.0349,21,4.6
2021,5,18,-15.9794,-74.3147,39.6,4.2
2021,5,18,-16.2743,-72.4483,78.3,4.3
2021,5,18,-17.3512,-69.9961,10,4.1
2021,5,17,-21.1556,-68.7857,122.6,4.1
2021,5,17,-21.2746,-68.8929,123.9,4.9
2021,5,16,-17.5176,-69.8722,10,4.2
2021,5,15,-20.9693,-67.6591,186,4.3
2021,5,14,-17.4616,-69.8535,10,4.2
2021,5,14,-21.6646,-68.5251,137.8,4.2
2021,5,13,-19.5782,-68.6937,134.9,4.4
2021,5,13,-14.8815,-73.0146,88.1,4.3
2021,5,12,-17.5091,-69.8165,10,4
2021,5,12,-17.2713,-70.0644,10,5.4
2021,5,12,-22.1504,-68.5722,113.2,4.4
2021,5,12,-17.4766,-69.8525,10,4.4
2021,5,11,-19.3256,-67.7921,224.5,4.2
2021,5,11,-21.5643,-68.4904,143.2,4.3
2021,5,11,-20.2194,-69.2082,85.5,3.8
